x	u0	u1
         -0.05859375	(2.3770357549872436-2.208694897930944j)	(2.4265383400972347-2.110823380568332j)
          -0.0390625	(2.396480829628601-2.2394818878836427j)	(2.446074809332444-2.1401254482197407j)
         -0.01953125	(2.408310105791944-2.2581773709267865j)	(2.4579251455818856-2.1579558730111623j)
                   0	(2.412267089947383-2.2644512315002396j)	(2.4618781835686043-2.163937097568864j)
          0.01953125	(2.408310105791941-2.258177370926783j)	(2.457925145581883-2.157955873011159j)
           0.0390625	(2.3964808296285964-2.2394818878836364j)	(2.446074809332439-2.1401254482197345j)
          0.05859375	(2.3770357549872365-2.2086948979309344j)	(2.4265383400972276-2.1108233805683225j)
            0.078125	(2.3504214589047323-2.1664447283531403j)	(2.3997833250616667-2.0706097456163115j)
          0.09765625	(2.3171456306853635-2.11359008821103j)	(2.3662916974618646-2.020274175585642j)
           0.1171875	(2.2777949525823358-2.051119809139845j)	(2.3266772193628507-1.9606595319824152j)
          0.13671875	(2.2331001413328244-1.980163147237398j)	(2.281620122411746-1.892887342392356j)
             0.15625	(2.183837952566755-1.9018924555739325j)	(2.2318817208102386-1.8180735085082997j)
          0.17578125	(2.1306997635053535-1.8174745906580696j)	(2.178238773155769-1.7374278074139973j)
           0.1953125	(2.0744535037623377-1.7282002694391623j)	(2.121465187891694-1.652077351853956j)
          0.21484375	(2.0158211622350173-1.6351982892166426j)	(2.062240934477407-1.5631333617191676j)
            0.234375	(1.9555587182756178-1.5396128574116892j)	(2.0012617450578363-1.4716094518030096j)
          0.25390625	(1.8942963055178494-1.4425216298304293j)	(1.9391628999609878-1.3784496301646807j)
           0.2734375	(1.8325643873829767-1.3448285143313308j)	(1.8765255978320383-1.284569789368532j)
          0.29296875	(1.7708686082378864-1.2473513242479357j)	(1.8138645107940947-1.1908002157563686j)
              0.3125	(1.7096854588683787-1.1507949818372831j)	(1.7515818764323696-1.0977669822861564j)
          0.33203125	(1.6493560784588168-1.0557152961816914j)	(1.6900277676170294-1.0060648295426766j)
           0.3515625	(1.5901240567661086-0.9626187900401029j)	(1.6296236838606966-0.9162024127784003j)
          0.37109375	(1.5322573015733254-0.871951570706568j)	(1.5705445839632723-0.8285541601405653j)
            0.390625	(1.475935357559888-0.7840052327602085j)	(1.5129883162251805-0.7433954806174481j)
          0.41015625	(1.4213197603725694-0.6989828803819234j)	(1.4571404907365344-0.6610215186558447j)
           0.4296875	(1.3685736977442984-0.6170659573712851j)	(1.4031241109465045-0.5816063469325494j)
          0.44921875	(1.3177427849604681-0.5384206983372688j)	(1.3510450503625773-0.5052215495847028j)
             0.46875	(1.268841939758496-0.46307351089107646j)	(1.3009219007754909-0.4319660928049134j)
          0.48828125	(1.2218791670136602-0.39105484011076824j)	(1.2527530069575405-0.3618934585195406j)
